elements_books_group,n,metric,count,pct,elements_overall_pct,delta
unknown_books,56,claim_correction_revision_accuracy,6,10.7,23.1,-12.4
selected_later_books,21,claim_selection_extraction_abridgment,1,4.8,17.8,-13.1
partial_from_book_1,8,claim_translation_vernacularization_transfer,1,12.5,26.2,-13.7
unknown_books,56,claim_canonical_textual_identity,40,71.4,86.7,-15.3
books_1_6_plus_solids,39,claim_augmentation_enrichment_composition,10,25.6,40.9,-15.3
books_1_13,5,composite_workshop_book,1,20.0,35.7,-15.7
partial_from_book_1,8,claim_method_demonstration_order,2,25.0,42.0,-17.0
selected_later_books,21,claim_augmentation_enrichment_composition,5,23.8,40.9,-17.1
books_1_6_plus_solids,39,composite_workshop_book,7,17.9,35.7,-17.7
near_complete_or_expanded_enunciations,7,learned_scholarly_arena,1,14.3,32.2,-17.9
selected_later_books,21,claim_correction_revision_accuracy,1,4.8,23.1,-18.3
unknown_books,56,claim_ancient_authority_restoration,36,64.3,83.2,-18.9
selected_later_books,21,procedural_pedagogical_identity,8,38.1,57.0,-18.9
partial_from_book_1,8,learned_scholarly_arena,1,12.5,32.2,-19.7
partial_from_book_1,8,claim_ancient_authority_restoration,5,62.5,83.2,-20.7
books_1_13,5,claim_augmentation_enrichment_composition,1,20.0,40.9,-20.9
unknown_books,56,procedural_pedagogical_identity,20,35.7,57.0,-21.3
unknown_books,56,claim_method_demonstration_order,11,19.6,42.0,-22.3
books_1_6_plus_solids,39,humanist_transfer_book,1,2.6,24.8,-22.3
books_1_6_plus_solids,39,claim_translation_vernacularization_transfer,1,2.6,26.2,-23.7
partial_from_book_1,8,claim_canonical_textual_identity,5,62.5,86.7,-24.2
books_1_6_plus_solids,39,no_visible_social_arena,7,17.9,43.7,-25.8
