group_type,group,n_elements,n_non_elements,metric,elements_count,elements_pct,non_elements_pct,delta
language_first,GERMAN,13,45,claim_novelty_modernity_invention,1,7.7,13.3,-5.6
language_first,FRENCH,53,209,professional_practical_arena,3,5.7,12.0,-6.3
period,1650-1699,83,120,claim_visual_material_aids,7,8.4,15.0,-6.6
language_first,GERMAN,13,45,claim_utility_practice_application,2,15.4,22.2,-6.8
period,1600-1649,75,248,Cosmos/Earth,3,4.0,10.9,-6.9
language_first,FRENCH,53,209,court_state_service_arena,10,18.9,25.8,-7.0
language_first,ITALIAN,12,52,claim_completeness_totality_system,1,8.3,15.4,-7.1
period,1650-1699,83,120,sparse_canonical_identity,3,3.6,10.8,-7.2
period,1650-1699,83,120,professional_practical_arena,3,3.6,10.8,-7.2
language_first,LATIN,139,167,Instruments/Measurement,3,2.2,9.6,-7.4
period,1650-1699,83,120,claim_novelty_modernity_invention,11,13.3,20.8,-7.6
language_first,LATIN,139,167,Visual/Spatial Arts,3,2.2,10.2,-8.0
language_first,ENGLISH,20,47,claim_augmentation_enrichment_composition,9,45.0,53.2,-8.2
period,1700+,40,15,claim_accessibility_clarity_pedagogy,10,25.0,33.3,-8.3
language_first,LATIN,139,167,Cosmos/Earth,15,10.8,19.2,-8.4
language_first,FRENCH,53,209,claim_utility_practice_application,5,9.4,18.2,-8.7
period,1600-1649,75,248,utility_public_book,1,1.3,10.1,-8.7
period,1550-1599,55,125,claim_utility_practice_application,1,1.8,11.2,-9.4
period,1650-1699,83,120,Applied Mechanics/Military,1,1.2,10.8,-9.6
period,1650-1699,83,120,Cosmos/Earth,2,2.4,12.5,-10.1
period,1700+,40,15,professional_practical_arena,1,2.5,13.3,-10.8
period,1600-1649,75,248,claim_utility_practice_application,5,6.7,17.7,-11.1
period,1600-1649,75,248,Applied Mechanics/Military,1,1.3,12.5,-11.2
language_first,LATIN,139,167,no_visible_social_arena,64,46.0,57.5,-11.4
period,1550-1599,55,125,no_visible_social_arena,27,49.1,60.8,-11.7
language_first,FRENCH,53,209,Applied Mechanics/Military,1,1.9,14.4,-12.5
period,1550-1599,55,125,Visual/Spatial Arts,4,7.3,20.0,-12.7
period,1650-1699,83,120,no_visible_social_arena,35,42.2,55.0,-12.8
language_first,ENGLISH,20,47,composite_workshop_book,8,40.0,53.2,-13.2
period,pre-1550,32,49,Visual/Spatial Arts,1,3.1,16.3,-13.2
language_first,LATIN,139,167,Arithmetic/Commerce,6,4.3,18.6,-14.2
period,1700+,40,15,claim_correction_revision_accuracy,10,25.0,40.0,-15.0
period,1650-1699,83,120,Arithmetic/Commerce,5,6.0,21.7,-15.6
language_first,FRENCH,53,209,no_visible_social_arena,20,37.7,53.6,-15.9
period,1650-1699,83,120,claim_utility_practice_application,8,9.6,25.8,-16.2
period,1600-1649,75,248,Arithmetic/Commerce,2,2.7,19.0,-16.3
language_first,FRENCH,53,209,Arithmetic/Commerce,2,3.8,20.6,-16.8
period,1550-1599,55,125,Instruments/Measurement,1,1.8,20.0,-18.2
language_first,FRENCH,53,209,Visual/Spatial Arts,1,1.9,20.1,-18.2
language_first,ENGLISH,20,47,Cosmos/Earth,1,5.0,23.4,-18.4
period,1600-1649,75,248,no_visible_social_arena,29,38.7,58.5,-19.8
period,1550-1599,55,125,Arithmetic/Commerce,4,7.3,27.2,-19.9
period,pre-1550,32,49,no_visible_social_arena,19,59.4,81.6,-22.3
period,1700+,40,15,claim_novelty_modernity_invention,7,17.5,40.0,-22.5
language_first,ENGLISH,20,47,claim_utility_practice_application,6,30.0,53.2,-23.2
language_first,ITALIAN,12,52,Visual/Spatial Arts,1,8.3,32.7,-24.4
language_first,ENGLISH,20,47,Instruments/Measurement,1,5.0,29.8,-24.8
language_first,ENGLISH,20,47,claim_visual_material_aids,2,10.0,36.2,-26.2
language_first,GERMAN,13,45,no_visible_social_arena,7,53.8,82.2,-28.4
period,pre-1550,32,49,Arithmetic/Commerce,2,6.2,34.7,-28.4
period,1700+,40,15,claim_augmentation_enrichment_composition,15,37.5,66.7,-29.2
period,1700+,40,15,no_visible_social_arena,15,37.5,66.7,-29.2
period,1700+,40,15,claim_visual_material_aids,7,17.5,46.7,-29.2
period,1700+,40,15,Arithmetic/Commerce,1,2.5,33.3,-30.8
language_first,DUTCH,21,30,Arithmetic/Commerce,3,14.3,46.7,-32.4
period,1700+,40,15,composite_workshop_book,12,30.0,66.7,-36.7
language_first,GERMAN,13,45,Visual/Spatial Arts,1,7.7,44.4,-36.8
period,1700+,40,15,claim_utility_practice_application,6,15.0,53.3,-38.3
language_first,ENGLISH,20,47,no_visible_social_arena,6,30.0,70.2,-40.2
language_first,ENGLISH,20,47,Arithmetic/Commerce,1,5.0,46.8,-41.8
language_first,DUTCH,21,30,no_visible_social_arena,4,19.0,73.3,-54.3
