classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
Paris_1565,1565,Paris,FRENCH,Theoretical Mathematics,"LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide","LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide",D’EVCLIDE | Liure d’Euclide
Paris_1566a,1566,Paris,FRENCH,Theoretical Mathematics,LES SIX PREMIERS LIVRES DES ELE- ments d’Euclide,LES SIX PREMIERS LIVRES DES ELE- ments d’Euclide,Euclide
Paris_1598a,1598,Paris,FRENCH,,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE
Paris_1604,1604,Paris,LATIN,Theoretical Mathematics,EVCLIDIS OPTICA ET CATOPTRICA,EVCLIDIS OPTICA ET CATOPTRICA,EVCLIDIS
Paris_1605,1605,Paris,FRENCH,Theoretical Mathematics,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE
Paris_1612,1612,Paris,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTVM DECIMVM,EVCLIDIS ELEMENTVM DECIMVM,EVCLIDIS
Paris_1626b,1626,Paris,LATIN,Astronomy | Theoretical Mathematics,"Theodosii, Menelai et Mavrolyci sphærica",,
Paris_1629,1629,Paris,FRENCH,,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE
Paris_1630,1630,Paris,FRENCH,,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENS D’EVCLIDE,D’EVCLIDE
Paris_1654,1654,Paris,LATIN,,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI Sex,EVCLIDIS
Paris_1654a,1654,Paris,FRENCH,,LES ELEMENTS D’EVCLIDE,ELEMENTS D’EVCLIDE,D’EVCLIDE
Paris_1675,1675,Paris,FRENCH,Theoretical Mathematics,ELEMENS DES MATHEMATIQUES,,
Paris_1689,1689,Paris,FRENCH,Theoretical Mathematics,NOUVEAUX ELEMENS,NOUVEAUX ELEMENS,
Paris_1693,1693,Paris,FRENCH,Theoretical Mathematics,les Elemens d’Euclide,les Elemens d’Euclide,Euclide
Paris_1739,1739,Paris,FRENCH,Practical Geometry | Trigonometry,Élemens d’Euclide,Élemens d’Euclide,Euclide
Paris_1814,1814,Paris,"LATIN, FRENCH, GREEK",Theoretical Mathematics,Les Oevres  d'Euclide,Les Oevres  d'Euclide,Euclide
Pesaro_1572,1572,Pesaro,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS
Q4F538,1571,Nuremberg,GERMAN,Perspective | Practical Geometry,PERSPECTIVA,,
QR4DDA,1644,Paris,FRENCH,Theoretical Mathematics,EXAMEN,,
QWCWLH,1545,Paris,"FRENCH, ITALIAN",Architecture,IL PRIMO libro d’Architet- tura,,
