title_page_key,classification_key,is_reprint_nonrepresentative,cluster_key
OQE4ZD,OQE4ZD,False,
OT231L,OT231L,False,
Oxford_1705,Oxford_1705,False,TLOW8P
P3JCQH,P3JCQH,False,
Paris_1500,Paris_1500,False,
Paris_1507,Paris_1507,False,
Paris_1511,Paris_1511,False,
Paris_1516a,Paris_1516a,False,
Paris_1521,Paris_1521,False,
Paris_1527,Paris_1527,False,9ZQKIV
Paris_1531,Paris_1527,True,9ZQKIV
Paris_1532,Paris_1532,False,
Paris_1534,Paris_1527,True,9ZQKIV
Paris_1534a,Paris_1534a,False,
Paris_1538,Paris_1538,False,
Paris_1557a,Paris_1557a,False,
Paris_1557b,Paris_1557b,False,
Paris_1565a,Paris_1565,True,NMR5AW
Paris_1566b,Paris_1566b,False,
Paris_1604,Paris_1604,False,
Paris_1625,Paris_1625,False,
Paris_1626,Paris_1626,False,
Paris_1626b,Paris_1626b,False,
Paris_1661,Paris_1661,False,
Paris_1667,Paris_1667,False,DI1HUP
Paris_1689,Paris_1689,False,
Paris_1695,Paris_1695,False,
Paris_1739,Paris_1739,False,
Paris_1794,KVSFF1,True,V6Q1EV
Paris_1814,Paris_1814,False,
Q4F538,Q4F538,False,
QIG1E3,Halle_1758,True,31E054
QR4DDA,QR4DDA,False,
QWCWLH,QWCWLH,False,
QX7XH4,QX7XH4,False,
RH6KEE,RH6KEE,False,BJ5A61
RSEIPO,RSEIPO,False,
Rome_1591,Rome_1591,False,
Rome_1593,Rome_1593,False,
Rome_1609,Rome_1609,False,
Rome_1679,Rome_1679,False,2LJ5VI
Rome_1695,Rome_1695,False,
S105XB,S105XB,False,
Strasbourg_1529,Strasbourg_1529,False,
Strasbourg_1557,Strasbourg_1557,False,
Strasbourg_1572,Strasbourg_1572,False,
Strasbourg_1625,Strasbourg_1625,False,
T3UM3R,GGD02E,True,7918A9
T4DFPF,T4DFPF,False,
TDJC06,TDJC06,False,
TJONV6,TJONV6,False,
TMVVZN,TMVVZN,False,
TTORPR,TTORPR,False,
The_Hague_1683,Paris_1667,True,DI1HUP
The_Hague_1758,The_Hague_1758,False,
Tours_1593,Tours_1593,False,
Turin_1671,Turin_1671,False,
UEIZFO,UEIZFO,False,
UOH868,UOH868,False,
UQI2BV,UQI2BV,False,
UX662Y,UX662Y,False,
Uppsala_1642,Uppsala_1642,False,
Uppsala_1741,Uppsala_1741,False,
Uppsala_1744,Uppsala_1744,False,
V3JZK3,V3JZK3,False,
VQDBOK,VQDBOK,False,
VRHOHN,VRHOHN,False,
VT5JVX,VT5JVX,False,
VWMZ7L,VWMZ7L,False,
Valencia_1569,Valencia_1569,False,
Valencia_1673,Valencia_1673,False,
Venice_1482,Venice_1482,False,
Venice_1491,Venice_1491,False,
Venice_1498,Venice_1498,False,
Venice_1603,Venice_1603,False,
Venice_1647,Venice_1647,False,
Vicenza_1491,Vicenza_1491,False,
WFWXP4,HFRLRC,True,298FCC
WHEESV,WHEESV,False,
WNYVAP,WNYVAP,False,
WOQG2Q,WOQG2Q,False,
WWE4ON,WWE4ON,False,
X2T7PY,X2T7PY,False,
X5YBIB,X5YBIB,False,NMAV1L
XAFNOE,XAFNOE,False,
XCQGKZ,XCQGKZ,False,
XHZ2XV,XHZ2XV,False,
XOIASP,XOIASP,False,
XP5WU4,XP5WU4,False,
XXI4KS,XXI4KS,False,
YB32U5,YB32U5,False,
YBCWZV,YBCWZV,False,
YCXMIJ,YCXMIJ,False,
YPQYIR,YPQYIR,False,
YQDZSW,YQDZSW,False,
YSF4K5,YSF4K5,False,
YUHFFF,YUHFFF,False,
Z0K13S,Z0K13S,False,
Z26G13,Z26G13,False,
