author_canonical,key,year,year_num,period_25,city,language,format,short_title
Henry Briggs,London_1620,1620,1620.0,1600-1624,London,LATIN,2,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ἕγ. ELEMENTORVM EVCLIDIS LIBRI TREDECIM
Denis Henrion,Paris_1621,1621,1621.0,1600-1624,Paris,FRENCH,8,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
Pierre Le Mardelé,Paris_1622,1622,1622.0,1600-1624,Paris,FRENCH,8,
Pierre Le Mardelé,Paris_1622,1622,1622.0,1600-1624,Paris,LATIN,8,
Denis Henrion,Paris_1623,1623,1623.0,1600-1624,Paris,FRENCH,8,
Honorat de Meynier,Paris_1624,1624,1624.0,1600-1624,Paris,FRENCH,8,
Jan Pietersz Dou,Amsterdam_1626,1626,1626.0,1625-1649,Amsterdam,DUTCH,8,
Marin Mersenne,Paris_1626a,1626,1626.0,1625-1649,Paris,LATIN,8,
Caterino Doino,Ferrara_1628,1628,1628.0,1625-1649,Ferrara,LATIN,12,
"Jacques Peletier, Jean de Tournes",Geneva_1628,1628,1628.0,1625-1649,Geneva,FRENCH,8,Les six premiers livres des éléments géométriques d’Euclide
"Xu Guangqi, Matteo Ricci, Li Zhizao",Beijing_1629,1629,1629.0,1625-1649,Beijing,CHINESE,unknown,
Denis Henrion,Paris_1630,1630,1630.0,1625-1649,Paris,FRENCH,8,"Les six premiers livres des Elemens d'Euclide, traduits de latin en françois, par D. Henrion"
