author_canonical,geographic_reach_type,matched_edition_count,any_practical,majority_practical,practical_share,any_books_1_6_or_solids,majority_books_1_6_or_solids,books_1_6_or_solids_share,any_vernacular_non_latin,majority_vernacular_non_latin,vernacular_non_latin_share,any_small_format_8_or_smaller,majority_small_format_8_or_smaller,small_format_8_or_smaller_share,any_large_format_folio_quarto,majority_large_format_folio_quarto,large_format_folio_quarto_share,any_institution,majority_institution,institution_share,any_jesuit,majority_jesuit,jesuit_share,any_pedagogy_access,majority_pedagogy_access,pedagogy_access_share,any_method_order,majority_method_order,method_order_share,any_augmentation,majority_augmentation,augmentation_share,any_restoration_ancient,majority_restoration_ancient,restoration_ancient_share,any_correction,majority_correction,correction_share,any_visual_aids,majority_visual_aids,visual_aids_share
Bartolomeo Zamberti,interregional_route,2,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.5,True,True,1.0,True,True,1.0,True,True,0.5,False,False,0.0
Francesco Maurolico,interregional_route,2,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,0.5,True,True,0.5,True,True,0.5,True,True,0.5,True,True,0.5,False,False,0.0
Johannes Scheubel,interregional_route,2,True,True,0.5,True,True,0.5,True,True,0.5,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,0.5,True,True,1.0,False,False,0.0,False,False,0.0
Samuel Reyher,interregional_route,2,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,0.5,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Giovanni Alfonso Borelli,interregional_route,1,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Jacques Peletier,interregional_route,1,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0
Johann Lanz,interregional_route,1,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Claude-François Milliet Dechales,pan_european_multi_region,16,True,True,0.625,True,True,0.9375,True,True,0.75,True,True,0.75,True,False,0.1875,True,True,0.8125,True,True,0.6875,True,True,0.6875,True,True,0.6875,True,False,0.4375,True,True,1.0,True,True,0.5,True,False,0.125
André Tacquet,pan_european_multi_region,7,False,False,0.0,True,True,0.8571428571428571,False,False,0.0,True,True,1.0,False,False,0.0,True,True,0.8571428571428571,True,False,0.2857142857142857,False,False,0.0,True,True,0.8571428571428571,True,False,0.14285714285714285,True,True,0.8571428571428571,True,False,0.2857142857142857,False,False,0.0
Christopher Clavius,pan_european_multi_region,6,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.6666666666666666,True,False,0.3333333333333333,True,True,1.0,True,False,0.16666666666666666,False,False,0.0,True,True,1.0,True,True,0.8333333333333334,True,True,1.0,True,True,1.0,True,True,0.8333333333333334
Conrad Dasypodius,single_city,11,False,False,0.0,True,False,0.09090909090909091,True,True,0.5454545454545454,True,True,0.8181818181818182,True,False,0.18181818181818182,True,True,0.5454545454545454,False,False,0.0,False,False,0.0,True,True,0.7272727272727273,True,False,0.2727272727272727,True,True,0.9090909090909091,False,False,0.0,True,False,0.09090909090909091
