elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
1–6,,CLAVIUS,Douai_1625,,,1625,Douai,LATIN,Charles Malapert de Mons,,12.0,1.0,-,,,1625.0,Douai,LATIN,1625-1649
1–6,,CLAVIUS,Rome_1629,,,1629,Rome,LATIN,"Christopher Clavius, Christoph Grienberger",Heirs of Bartolomeo Zannetti,12.0,1.0,-,,,1629.0,Rome,LATIN,1625-1649
1–6,,CLAVIUS,Douai_1633,,,1633,Douai,LATIN,Charles Malapert de Mons,Balthazar Bellerus,12.0,1.0,-,,,1633.0,Douai,LATIN,1625-1649
1–6,,CLAVIUS,Paris_1643b,,,1643,Paris,LATIN,Georges Fournier,Mathurinum Henault,8.0,1.0,-,,,1643.0,Paris,LATIN,1625-1649
1–6,,CLAVIUS,Paris_1644a,,,1644,Paris,LATIN,Georges Fournier,Mathurinum Henault,8.0,1.0,,,,1644.0,Paris,LATIN,1625-1649
1-16,,CLAVIUS,Antwerp_1645,"Euclidis elementorum geometricorum libros tredecim Isidorum et Hypsiclem & recentiores de corporibus regularibus, & Procli propositiones geometricas",Provided by catalog,1645,Antwerp,LATIN,Claude Richard,Jérôme Verdussi,2.0,1.0,1004036,TP is after 14 pages of figures,,1645.0,Antwerp,LATIN,1625-1649
1–16,,CLAVIUS,Frankfurt_1654,"Euclidis Posteriores Libri IX Accessit liber XVI. De Solidorum Regularium cuiuslibet intra quodlibet comparatione, Omnes Perspicuis Demonstrationibus, accuratisque scholiis illustrati Auctore Christophoro Clavio Bambergensi e Societate Jesu: nunc quarto editi, ac multarum rerum accessione post primam editionem locupletati",Provided by catalog,1654,Frankfurt,LATIN,Christopher Clavius,Heirs of Jonas Rose,8.0,2.0,2658335,,,1654.0,Frankfurt,LATIN,1650-1674
1–6,,CLAVIUS,Paris_1654,Euclidis elementorum geometricorum libri,Provided by catalog,1654,Paris,LATIN,Georges Fournier,Jean Hénault,8.0,1.0,,,,1654.0,Paris,LATIN,1650-1674
1-6,,CLAVIUS,Rome_1655,Euclidis sex primi elementorum geometricorum libri cum parte vndecimi ex maioribus Clavuii commentarijs in commodiorem formam contracti. Rerumque mathematicarum Christophori Grienbergeri Oenohallensis è Societate Iesu opusculum primum. Accessere Isaaci Monachi In sex eosdem libros scholia,Provided by catalog,1655,Rome,LATIN,"Christopher Clavius, Christoph Grienberger",Nicolai Angeli Tinassij,12.0,1.0,-,,,1655.0,Rome,LATIN,1650-1674
"1–6, 11–12",,CLAVIUS,Lyon_1674,,,1674,Lyon,LATIN,Claude-François Milliet Dechales,Anisson,4.0,3.0,,,,1674.0,Lyon,LATIN,1650-1674
1-16,,CLAVIUS,Frankfurt_1607,"Elementorum libri 15, accessit Liber XVI",Provided by catalog,1607,Frankfurt,LATIN,Christopher Clavius,Nicolai Hoffmanni,8.0,2.0,,,,1607.0,Frankfurt,LATIN,1600-1624
1–6,,CLAVIUS,London_1654,,,1654,London,LATIN,Georges Fournier,Edwardi Story,12.0,1.0,,,,1654.0,London,LATIN,1650-1674
