edition_key,corpus,year,city,language,format,geometrical_dotted_lines,token_lines,other_dotted_lines,has_dotted_diagrams_wide_sense,raw_dotted_lines,lines_classified,notes,has_diagrams,reprint_of,short_title,author_or_editor,publisher,volumes,ustc_id,elements_books,includes_elements_plane_geometry_books_1_6,includes_elements_arithmetical_books_7_9,includes_elements_book_10,includes_elements_solid_geometry_books_11_13,additional_content,reprint_of_inferred_from_clusters,reprint_cluster_comparison
bib-25,Additional Work,1577,Bordeaux,FRENCH,,"Geometrical (many), Tokens (rectangle)","Geometrical (many), Tokens (rectangle)",,Yes,"Geometrical (many), Tokens (rectangle)",Yes,Dotted https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ? https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP66&printsec=frontcover https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP168&printsec=frontcover Token https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP38&printsec=frontcoverhl=en&gbpv=1&pg=PP23&printsec=frontcover https://www.google.co.il/books/edition/L_Arpanterie_D_Elie_Vinet/IQBaAAAAcAAJ?hl=en&gbpv=1&pg=PP43&printsec=frontcover ,TRUE,,,Elie Vinet,Simon Millanges,,,,,,,,,,neither
ustc-32,Additional Work,1578,Paris,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Niccolò Tartaglia,,,,,,,,,,,neither
bib-64,Additional Work,1579,Paris,LATIN,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,,François Viète,Jean Mettayer,,,,,,,,,,neither
bib-153,Additional Work,1579,London,ENGLISH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,"An arithmeticall militare treatise, named Stratioticos compendiously teaching the science of numbers, as well in fractions as integers, and so much of the rules and aequations algebraicall and arte of numbers cossicall, as are requisite for the profession of a soldiour.",Leonard Digges,Henrie Bynneman,,508740,,,,,,,,neither
bib-128,Additional Work,1580,Basel,LATIN,,Geometrical,,,Yes,Geometrical,Yes,Dotted: https://www.google.co.il/books/edition/P_Rami_Arithmeticae_Libri_Duo_Geometriae/4kd25JMJF4AC?hl=en&gbpv=1&pg=RA1-PA76&printsec=frontcover,TRUE,,,Pierre de la Ramée,Eusebius Episcopius,,,,,,,,,bib-129,clusters only
bib-156,Additional Work,1581,Venice,ITALIAN,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Guidobaldo del Monte,Francesco de Franceschi,,,,,,,,,,neither
ZGOHUR,Additional Work,1581,Rome,LATIN,,Geometrical (many),,,Yes,Geometrical (many),Yes,,TRUE,,Gnomonices libri octo,Christopher Clavius,,1,,,,,,,,,neither
bib-29,Additional Work,1582,Paris,FRENCH,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,Only architecture plans,FALSE,,,Jacques Androuet du Cerceau,,,,,,,,,,,neither
bib-185,Additional Work,1582,Antwerp,DUTCH,,,,,Not relevant (no diagrrams in edition),No diagrams,Yes,,FALSE,,"Tafelen van interest, midtsgaders de constructie der selver",Simon Stevin,Christophe Plantin,,414590,,,,,,,,neither
bib-262,Additional Work,1582,Antwerp,FRENCH,,,,,No (has diagrams),No (has diagrams),Yes,,TRUE,,,Gemma Frisius,Jean Withage,,,,,,,,,,neither
